Instance,Color,Size,Act,Age,Inflated
1,YELLOW,SMALL,STRETCH,ADULT,T
2,YELLOW,SMALL,STRETCH,CHILD,T
3,YELLOW,SMALL,DIP,ADULT,T
4,YELLOW,SMALL,DIP,CHILD,T
5,YELLOW,LARGE,STRETCH,ADULT,T
6,YELLOW,LARGE,STRETCH,CHILD,F
7,YELLOW,LARGE,DIP,ADULT,F
8,YELLOW,LARGE,DIP,CHILD,F
9,PURPLE,SMALL,STRETCH,ADULT,T
10,PURPLE,SMALL,STRETCH,CHILD,F
11,PURPLE,SMALL,DIP,ADULT,F
12,PURPLE,SMALL,DIP,CHILD,F
13,PURPLE,LARGE,STRETCH,ADULT,T
14,PURPLE,LARGE,STRETCH,CHILD,F
15,PURPLE,LARGE,DIP,ADULT,F
16,PURPLE,LARGE,DIP,CHILD,F
